Country,ISO2,ISO3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,AT,AUT,1.769,1.501,1.531,1.464,0.829,0.628,0.907,2.137,1.582,1.544,0.656,1.373,1.783,1.098,2.409,2.167,2.096,1.741,2.524,2.37,2.315,1.395
Belgium,BE,BEL,1.484,1.336,1.398,1.526,1.089,1.197,1.404,1.883,1.256,1.158,0.233,1.289,1.13,0.463,2.417,1.371,1.882,1.731,2.196,2.081,2.572,1.203
Bulgaria,BG,BGR,1.184,1.648,0.854,0.181,0.533,0.215,0.571,1.883,1.177,1.291,1.361,0.422,1.678,1.476,1.196,1.438,1.899,0.954,2.192,2.112,2.037,1.629
Cyprus,CY,CYP,0.618,1.161,0.836,0.585,0.614,0.335,0.622,0.814,1.031,0.983,2.03,0.715,0.97,1.238,1.048,1.139,1.493,0.776,2.119,1.524,1.668,1.994
Denmark,DK,DNK,1.719,1.044,1.652,0.707,1.032,1.282,1.349,2.136,1.853,1.32,-0.199,0.677,1.139,0.397,2.677,1.516,1.852,1.619,2.109,2.18,2.633,1.69
Finland,FI,FIN,2.024,1.365,1.171,0.713,1.233,2.201,1.204,1.946,2.13,1.695,0.242,1.354,1.54,1.424,2.591,2.613,2.151,1.487,2.157,1.452,3.317,1.938
France,FR,FRA,1.175,1.391,1.054,1.8,0.969,1.02,1.306,1.407,0.992,1.212,0.395,1.534,1.22,0.714,2.049,1.612,1.794,1.796,2.06,2.023,2.551,1.337
Germany,DE,DEU,1.764,1.292,1.491,1.258,0.998,1.025,1.254,2.088,1.542,1.282,0.196,1.121,1.349,0.583,2.519,1.674,1.988,1.653,2.393,2.332,2.516,1.325
Greece,GR,GRC,0.679,1.314,0.435,0.385,0.337,0.213,0.254,1.08,0.881,0.771,1.584,0.394,1.235,1.317,1.06,0.904,1.561,0.642,1.905,1.381,1.307,1.655
Hungary,HU,HUN,1.733,1.391,1.423,0.71,0.543,0.236,0.699,2.142,1.495,1.613,0.806,0.891,1.727,1.159,2.229,2.067,1.89,1.336,2.524,2.353,1.99,1.43
Ireland,IE,IRL,0.577,0.551,0.83,1.024,0.9,1.175,1.159,1.345,0.836,0.804,-0.104,0.559,0.705,0.568,1.357,0.449,1.04,1.264,0.783,1.201,1.075,1.019
Italy,IT,ITA,1.243,1.533,0.913,1.526,0.746,0.563,0.84,1.552,1.133,1.234,0.755,1.253,1.543,1.006,1.638,1.704,1.716,1.606,1.834,1.698,1.902,1.569
Latvia,LV,LVA,2.022,1.83,1.73,0.253,1.027,1.355,1.087,2.206,2.403,1.524,0.704,1.151,1.408,1.082,2.33,2.166,1.946,1.503,2.36,2.462,3.55,1.987
Lithuania,LT,LTU,2.026,1.804,1.917,0.182,0.883,1.206,0.923,2.196,2.221,1.396,0.766,0.957,1.37,0.967,2.238,2.095,1.944,1.542,2.427,2.642,3.445,1.792
Luxembourg,LU,LUX,1.651,1.433,1.393,1.692,1.013,1.129,1.357,1.94,1.279,1.188,0.325,1.343,1.262,0.569,2.475,1.528,1.877,1.647,2.468,2.155,2.632,1.158
Malta,MT,MLT,1.055,1.669,0.942,1.401,0.699,0.67,0.996,1.398,1.271,1.08,1.243,1.013,1.44,1.343,1.507,1.403,1.748,1.224,1.441,1.29,1.643,2.123
Portugal,PT,PRT,0.665,1.165,0.681,1.458,1.062,1.032,1.561,0.775,0.649,1.423,1.122,1.615,0.797,0.941,1.349,1.405,1.682,2.109,0.906,1.291,1.99,1.251
Romania,RO,ROU,1.338,1.537,1.22,0.145,0.556,0.298,0.514,2.126,1.335,1.617,1.167,0.497,1.828,1.37,1.552,1.799,1.876,1.153,2.266,2.241,2.256,1.447
Spain,ES,ESP,0.81,1.406,0.812,1.598,1.004,0.902,1.526,0.835,0.864,1.36,0.908,1.613,1.043,0.906,1.603,1.533,1.714,2.036,1.149,1.534,2.083,1.431
Sweden,SE,SWE,1.721,1.071,1.566,0.914,1.198,1.825,1.485,1.938,1.954,1.432,-0.279,1.267,1.313,0.857,2.704,2.069,1.841,1.588,1.844,1.568,2.943,1.846
United Kingdom,GB,GBR,0.724,0.631,1.011,1.194,1.035,1.116,1.25,1.332,0.838,0.948,-0.05,0.851,0.576,0.364,1.718,0.614,1.161,1.424,0.998,1.231,1.373,0.929
Croatia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0